title,year,certificate,duration,"genre",rating,"description",stars,votes
Society of the Snow,2013,Not Rated,23,"Animation, Comedy, Drama",7.7,"Every era gets the drug it deserves. In America today, where competition is ceaseless from school to the workforce and everyone wants a performance edge, Adderall and other prescription stimulants are the defining drugs of this generation.","[Daiki Yamashita,Kôsuke Toriumi,Jun Fukushima,Ayaka Suwa]",846
One Day We'll Talk About Today,2016,R,103,"Action, Adventure, Comedy",5.3,"The life and career of the renowned film critic and social commentator, Roger Ebert.","[Fernando Lebrija,Devon Werkheiser,Sean Marquette,Silverio Palacios,Camilla Belle]",2387
Sarah Cooper: Everything's Fine,2022,Not Rated,106,"Drama",6.1,"Teams of chefs vie to impress some of the world's toughest palates as they whip up iconic dishes from different nations in this reality cooking competition.","[Agam Darshi,Kim Coates,Agam Darshi,Sandy Sidhu,Stephen Lobo]",277
Byeonhyeokui Sarang,2018,TV-MA,92,"Adventure, Crime, Drama",5.9,"A new pastor arrives in a stark Vermont village and is intrigued by crippled, misshapen Ethan Frome living on an isolated, hardscrabble farm with his sickly wife Zeena.","[Daniel Calparsoro,Raúl Arévalo,Aura Garrido,Hugo Arbues,Belén Cuesta]",6425
Christmas Wonderland,2020,TV-MA,70,"Comedy, Drama, Romance",7.1,"Comedian Kevin Hart performs in front of a crowd of 53,000 people at Philadelphia's outdoor venue, Lincoln Financial Field.","[Song Ji-Hyo,Ho Joon Son,Jong-ho Song,Ja-Sung Koo]",920
No Way Out,2017,Not Rated,80,"Action, Drama, Thriller",7.4,"Get an inside look at social media's least talked-about stars as they navigate love, fame and friendship while creating content and living together and pretending anyone actually cares about them.","[Park Hae-Jin,Park Sung-woong,Min-Jung Kim,Jason Nelson]",1338
Feels Like Ishq,2017-2018,Not Rated,65,"Comedy, Drama, Romance",7.2,"In 1973, Hollywood actor Bing Russell starts an independent minor league baseball team in Portland consisting of outcasts and misfits, and turns them into unlikely overnight success.","[Hye-Sun Shin,Shi-hoo Park,Lee Tae-Hwan,Eun-Su Seo]",350
Melancholia,2018,TV-14,87,"Documentary",6.3,"A man wakes in a hospital bed with no recollection of who he is, and learns that he's wanted by the police for committing a series of murders.","[Alison Klayman,Ariana,Delaney,Jasper Holt-Teza,Leigh]",5207
The Golem,2014,R,121,"Documentary, Biography",7.8,"A critical look into some true crime cases where American law enforcement made up for lack of actual physical evidence by using devious psychological tactics during interrogation in order to extract confessions from naive suspects.","[Steve James,Roger Ebert,Chaz Ebert,Gene Siskel,Martin Scorsese]",15763
The Ghost Bride,2018,TV-PG,60,"Reality-TV",7.6,"In 1975, a Bayonne, New Jersey underdog boxer gets a shot to fight the champ.","[Andrew Knowlton,Monique Fiso,Mark Best,Shane Osborn]",4255
Swap Shop,1993,PG,99,"Drama, Romance",6.2,"A young high-spirited falcon journeys to the famed bird city of Zambezia.","[John Madden,Liam Neeson,Patricia Arquette,Gil Rood,Tate Donovan]",2166
Stand Out: An LGBTQ+ Celebration,2016,R,96,"Documentary, Comedy",5.9,"Deniz, an acclaimed author, is writing a book about his family and friends. He asks Orhan for critics. The day Orhan came to Istanbul from London, Deniz disappears. Orhan, Deniz's friend Neval and Deniz's lover Yusuf tries to find Deniz.","[Leslie Small,Tim Story,Kevin Hart,Don Cheadle,Halle Berry,Ed Helms]",9557
Freeridge,2021,TV-14,80,"Animation, Action, Adventure",5.5,"A conspiracy around Laplace's Box is potentially going to start another war between the Earth Federation and Neo Zeon. Chosen by fate, Banagher Links gets the key to the box, and must follow his heart to decide what to do with it.","[Kyohei Ishiguro,Simu Liu,Keone Young,Kenjirô Tsuda,Miyavi]",864
Underdogs,2022,TV-MA,36,"Reality-TV",2.1,"The year 2071, the Earth has been devastated by mysterious monsters that devour living creatures and are impervious to weapons. An organization called Fenrir is the only one with weapons capable of killing the monsters.","[Larray,Alex Warren,Kouvr Annon,Thomas Petrou]",2955
I Am Vengeance: Retaliation,2014,Not Rated,80,"Documentary, Sport",8,"March 1865. A group of Union soldiers escape from Confederate hands in a balloon, accompanied by their former Confederate captor. The balloon crashes on a sinister island where they encounter all manner of oddities and dangers.","[Chapman Way,Maclain Way,Lou Russell,Kurt Russell,Ken Wheeler,Todd Field]",4130
